DEPARTURE DATE,total_fare,forecast
2022-02-13,56975.0,
2022-02-20,56961.0,
2022-02-27,55420.0,
2022-03-06,81693.0,
2022-03-13,79458.0,
2022-03-20,82523.0,
2022-03-27,97776.0,
2022-04-03,90933.0,
2022-04-10,104551.0,
2022-04-17,98175.0,
2022-04-24,114255.0,
2022-05-01,91025.0,
2022-05-08,97610.0,
2022-05-15,93761.0,
2022-05-22,123868.0,
2022-05-29,157687.0,
2022-06-05,154753.0,
2022-06-12,138597.0,
2022-06-19,165137.0,
2022-06-26,179348.0,
2022-07-03,,183313.0
2022-07-10,,188072.0
2022-07-17,,150491.0
2022-07-24,,139176.0
2022-07-31,,179432.0
2022-08-07,,154521.0
2022-08-14,,128371.0
2022-08-21,,114095.0
2022-08-28,,105943.0
2022-09-04,,81227.0
2022-09-11,,49130.0
2022-09-18,,41605.0
2022-09-25,,37287.0
