DEPARTURE DATE,total_fare,forecast
2022-02-06,202424.0,
2022-02-13,191099.0,
2022-02-20,241142.0,
2022-02-27,237671.0,
2022-03-06,334222.0,
2022-03-13,314537.0,
2022-03-20,303495.0,
2022-03-27,283414.0,
2022-04-03,302298.0,
2022-04-10,288312.0,
2022-04-17,288317.0,
2022-04-24,291107.0,
2022-05-01,320761.0,
2022-05-08,322993.0,
2022-05-15,374229.0,
2022-05-22,462724.0,
2022-05-29,506284.0,
2022-06-05,549795.0,
2022-06-12,681961.0,
2022-06-19,867420.0,
2022-06-26,730724.0,
2022-07-03,,749996.0
2022-07-10,,757917.0
2022-07-17,,742026.0
2022-07-24,,722528.0
2022-07-31,,724951.0
2022-08-07,,706779.0
2022-08-14,,724525.0
2022-08-21,,678326.0
2022-08-28,,613743.0
2022-09-04,,594158.0
2022-09-11,,526287.0
2022-09-18,,506037.0
2022-09-25,,504758.0
