"BOOKING ID","BOOKING DATE","ORIGIN","BOOKED OFFICE","DESTINATION","DIRECTION","AIRPORTS","GATEWAYS","TRIP TYPE","ITINERARY TYPE","VALIDATING CARRIER","MARKETING CARRIERS","OPERATING CARRIERS","DEPARTURE DATE","ARRIVAL DATE","BOOKING CLASS","FARE BASIS","ADT","CHD"
"207776141","2022/4/21","SAN","ATL1S211S","ORY","OUTBOUND","SAN,EWR,ORY","EWR,ORY","transatlantic","one-way","BF","AS,BF","AS,BF","2022/7/16","2022/7/16 17:35:00","H","HNCOWUS","1080","0"
"207804001","2022/4/22","ORY","HNL1S210I","LAX","OUTBOUND","ORY,LAX","ORY,LAX","transatlantic","one-way","BF","BF","BF","2022/8/28","2022/8/28 17:15:00","X","XBCOWFR","459","0"
"207819761","2022/4/22","SAN","HNL1S210I","ORY","OUTBOUND","SAN,EWR,ORY","EWR,ORY","transatlantic","one-way","BF","AS,BF","AS,BF","2022/7/16","2022/7/16 17:35:00","H","HNCOWUS","1080","0"
"207824201","2022/4/22","ORY","ATL1S211S","LAX","OUTBOUND","ORY,LAX","ORY,LAX","transatlantic","one-way","BF","BF","BF","2022/6/16","2022/6/16 17:15:00","X","XBCOWFR","306","0"
"207877151","2022/4/23","LAX","HNL1S210I","ORY","OUTBOUND","LAX,ORY","LAX,ORY","transatlantic","one-way","BF","BF","BF","2022/8/25","2022/8/26 15:35:00","L","LBCOWUS","532","0"
"207902921","2022/4/24","EWR","ATL1S211S","ORY","OUTBOUND","EWR,ORY","EWR,ORY","transatlantic","one-way","BF","BF","BF","2022/5/15","2022/5/16 12:20:00","R","RBCRTUS","207","0"
"207964641","2022/4/25","EWR","ATL1S211S","ORY","OUTBOUND","EWR,ORY","EWR,ORY","transatlantic","one-way","BF","BF","BF","2022/5/26","2022/5/27 12:20:00","Z","ZBCOWUS","313","0"
"207964671","2022/4/25","ORY","ATL1S211S","EWR","OUTBOUND","ORY,EWR","ORY,EWR","transatlantic","one-way","BF","TX","BF","2022/5/29","2022/5/29 21:00:00","T","TBCOWFR","0","0"
"207996131","2022/4/26","EWR","ATL1S211S","ORY","OUTBOUND","EWR,ORY","EWR,ORY","transatlantic","one-way","BF","BF","BF","2022/5/13","2022/5/14 12:20:00","Q","QBCOWUS","127","0"
"208062101","2022/4/27","LAX","HNL1S210I","ORY","OUTBOUND","LAX,ORY","LAX,ORY","transatlantic","one-way","BF","BF","BF","2022/6/17","2022/6/18 15:35:00","L","LBCOWUS","532","0"
"208062121","2022/4/27","ORY","ATL1S211S","LAX","OUTBOUND","ORY,LAX","ORY,LAX","transatlantic","one-way","BF","BF","BF","2022/6/26","2022/6/26 17:15:00","H","HBCOWFR","590","0"
"208070801","2022/4/27","ORY","ATL1S211S","LAX","OUTBOUND","ORY,LAX","ORY,LAX","transatlantic","one-way","BF","BF","BF","2022/7/11","2022/7/11 17:15:00","H","HBCOWFR","590","221"
"208099901","2022/4/28","ORY","ATL1S211S","LAX","OUTBOUND","ORY,LAX","ORY,LAX","transatlantic","one-way","BF","BF","BF","2022/5/30","2022/5/30 17:15:00","R","RBCOWFR","330","0"
"208101341","2022/4/28","LAS","ATL1S211S","ORY","OUTBOUND","LAS,SFO,ORY","SFO,ORY","transatlantic","one-way","BF","AS,BF","AS,BF","2022/5/5","2022/5/5 18:30:00","H","QNCOWUS","374","0"
"208101371","2022/4/28","ORY","HNL1S210I","LAS","OUTBOUND","ORY,LAX,LAS","ORY,LAX","transatlantic","one-way","BF","BF,AS","BF,AS","2022/5/12","2022/5/12 17:15:00","X","XNCOWFR","270","0"
"208215741","2022/4/30","EWR","HNL1S210I","ORY","OUTBOUND","EWR,ORY","EWR,ORY","transatlantic","one-way","BF","BF","BF","2022/9/2","2022/9/3 12:20:00","Q","QBCOWUS","254","0"
"208215751","2022/4/30","ORY","ATL1S211S","EWR","OUTBOUND","ORY,EWR","ORY,EWR","transatlantic","one-way","BF","BF","BF","2022/9/10","2022/9/10 22:00:00","Q","QBCOWFR","226","0"
"208251981","2022/5/1","ORY","HNL1S210I","LAX","OUTBOUND","ORY,LAX","ORY,LAX","transatlantic","one-way","BF","BF","BF","2022/8/25","2022/8/25 17:15:00","X","XBCOWFR","298","0"
"208253421","2022/5/1","LAX","ATL1S211S","ORY","OUTBOUND","LAX,ORY","LAX,ORY","transatlantic","one-way","BF","BF","BF","2022/5/19","2022/5/20 15:35:00","H","HBCOWUS","312","0"
"208253441","2022/5/1","ORY","HNL1S210I","LAX","OUTBOUND","ORY,LAX","ORY,LAX","transatlantic","one-way","BF","BF","BF","2022/6/9","2022/6/9 17:15:00","X","XBCOWFR","149","0"
"208263351","2022/5/1","ORY","HNL1S210I","EWR","OUTBOUND","ORY,EWR","ORY,EWR","transatlantic","one-way","BF","BF","BF","2022/8/6","2022/8/6 22:00:00","L","LBCOWFR","134","0"
"208297691","2022/5/2","SFO","HNL1S210I","ORY","OUTBOUND","SFO,LAX,ORY","LAX,ORY","transatlantic","one-way","BF","AS,BF","AS,BF","2022/5/26","2022/5/26 16:41:00","H","INCOWUS","545","0"
"154300761","2019/6/29","ORY","ATL1S211S","RUN","OUTBOUND","ORY,RUN","ORY,RUN","international","one-way","BF","BF","BF","2019/6/30","2019/7/1 08:55:00","X","XHWNCOWB","302","0"
