DEPARTURE DATE,total_fare,forecast
2022-03-20,8898.0,
2022-03-27,12913.0,
2022-04-03,9630.0,
2022-04-10,,10082.0
2022-04-17,,6948.0
2022-04-24,,8926.0
2022-05-01,,4384.0
2022-05-08,,6229.0
2022-05-15,,6495.0
2022-05-22,,5555.0
2022-05-29,,10394.0
2022-06-05,,10650.0
2022-06-12,,11218.0
2022-06-19,,15739.0
2022-06-26,,16068.0
2022-07-03,,20872.0
